,given20_estimated7,given17_estimated8,given3_estimated2,given13_estimated31,given16_estimated3,given11_estimated0,given21_estimated3,given0_estimated28,given26_estimated24,given11_estimated2
149,1.9640366,1.4083477,3.0496848,2.425393,1.5452677,2.9198298,1.4636643,1.4407921,1.4828254,2.6767533
150,1.922486,1.4494312,2.9489896,2.3688161,1.5254253,2.9219718,1.4378196,1.4439985,1.4486053,2.6499624
151,1.9697244,1.4301124,3.0537932,2.364132,1.5553705,2.9015338,1.3955088,1.4501809,1.5149704,2.6615825
152,1.9200749,1.4833674,3.0493522,2.3202608,1.5367124,2.9409688,1.3937479,1.4999858,1.4487547,2.6829443
153,1.9253066,1.4729899,3.0194485,2.353555,1.5361707,2.917953,1.4407825,1.4592927,1.369979,2.6216304
154,1.9465922,1.4873388,2.9732666,2.2717738,1.5165321,2.9240892,1.4384466,1.4430487,1.4612074,2.6168382
155,1.9054345,1.4630395,2.9449043,2.3341684,1.562375,2.9003305,1.4239942,1.4634042,1.4354234,2.598617
156,1.9279987,1.4485304,3.0026574,2.2766087,1.493879,2.9164596,1.4831495,1.4532396,1.4902577,2.6207845
157,1.9115127,1.4013972,2.985739,2.2626643,1.5128683,2.9309907,1.4791608,1.4542383,1.5112542,2.703548
158,1.8847706,1.4219987,3.0171528,2.1942692,1.4994196,2.8991497,1.4764034,1.4487103,1.4684848,2.6262958
159,1.9085021,1.4349561,3.009574,2.2498164,1.5405349,2.9098835,1.4434832,1.4790199,1.4859324,2.5957975
160,1.8898067,1.4491125,3.0223658,2.2348025,1.5138606,2.9350045,1.4124702,1.4806858,1.4367597,2.6111383
161,1.8651409,1.4299953,3.0154834,2.187293,1.4817364,2.915469,1.4400628,1.3648142,1.4423178,2.6322145
162,1.8326043,1.4229095,2.9649363,2.2062926,1.5252365,2.9265423,1.4330637,1.4458537,1.4367583,2.7109118
163,1.8229228,1.3981055,2.9995267,2.1611984,1.5581348,2.9228578,1.4388263,1.4589305,1.4561396,2.635623
164,1.7531917,1.43889,2.978908,2.2147508,1.4975536,2.9293315,1.4282525,1.4982159,1.441738,2.6314971
165,1.7311538,1.437271,2.9307895,2.1511462,1.5640662,2.9241183,1.4106059,1.4848554,1.4459743,2.6283286
