,given20_estimated7,given17_estimated8,given3_estimated2,given13_estimated31,given16_estimated3,given11_estimated0,given21_estimated3,given0_estimated28,given26_estimated24,given11_estimated2
156,2.1562781,1.4448357,3.543501,2.7073944,1.5305619,4.2598786,1.440419,1.4421613,1.4518751,2.9822972
157,2.1531982,1.432386,3.573083,2.7056792,1.529254,4.278116,1.4405526,1.4428434,1.4526497,2.986603
158,2.141872,1.4379777,3.531297,2.6953588,1.5376012,4.2209654,1.4389527,1.4428558,1.4526609,2.9630244
159,2.1426141,1.4289782,3.539356,2.6902723,1.5336539,4.22708,1.4352049,1.4488494,1.4556088,2.954785
160,2.122883,1.4462053,3.493722,2.6684027,1.5258869,4.1484594,1.4417018,1.442575,1.4543744,2.927001
161,2.130473,1.4316597,3.5046115,2.660138,1.5307701,4.1648664,1.4411083,1.4438318,1.4457821,2.9434693
162,2.1254237,1.4323074,3.5009758,2.659568,1.5203159,4.128026,1.4300658,1.4355344,1.4503621,2.926811
163,2.1204429,1.4379272,3.4782119,2.6444478,1.5196716,4.091853,1.4262831,1.4336238,1.4591651,2.9120598
164,2.1107345,1.4338057,3.4804056,2.6466682,1.5394856,4.0944767,1.446116,1.4372884,1.4454632,2.9125433
165,2.1101286,1.4403282,3.474915,2.638927,1.5309535,4.087019,1.4364618,1.4362934,1.4612114,2.9070468
166,2.1011543,1.4295748,3.4472356,2.630462,1.5235252,4.0319905,1.4305973,1.4352256,1.4465839,2.8879673
167,2.1002607,1.4369966,3.4589558,2.62517,1.5254759,4.034468,1.4344052,1.4499857,1.4520993,2.8921459
168,2.0931377,1.4437017,3.425571,2.6166053,1.526314,3.9827416,1.4317398,1.4436866,1.4508346,2.8744931
169,2.0832288,1.4380075,3.4281213,2.6159666,1.5294319,3.9971411,1.4314569,1.4429626,1.4581678,2.873485
170,2.081104,1.4321864,3.4110026,2.5969102,1.531795,3.9514105,1.4353856,1.4349993,1.4484451,2.8593767
171,2.0789263,1.4304943,3.4307125,2.6002088,1.5319465,3.9609826,1.4345073,1.4400042,1.4534701,2.8596466
172,2.064902,1.4382527,3.397297,2.5895438,1.5262575,3.891602,1.4331504,1.4354931,1.4541622,2.8321292
173,2.0643954,1.4289664,3.391134,2.5861692,1.52753,3.8901217,1.4348716,1.4457302,1.4627131,2.841788
174,2.0521517,1.4281163,3.38527,2.5856986,1.5265728,3.8709614,1.4329896,1.427135,1.452799,2.8310242
175,2.0489526,1.4360858,3.3724365,2.5687263,1.5295981,3.8387275,1.4323325,1.4452119,1.449356,2.8152962
176,2.040854,1.4430732,3.3557963,2.5678926,1.5261414,3.8243172,1.4298505,1.4479522,1.4565569,2.8113744
177,2.0367973,1.4447293,3.3677456,2.5682075,1.5248928,3.838087,1.4343818,1.4350272,1.4529967,2.8191075
178,2.028373,1.4270892,3.3489895,2.5588827,1.5273918,3.7933817,1.430107,1.4424392,1.4507213,2.8002815
179,2.024098,1.4454505,3.3380098,2.547465,1.5280617,3.7935426,1.4300876,1.4298013,1.4533218,2.804437
180,2.01563,1.4294146,3.3273327,2.5436466,1.5210388,3.7560003,1.4278361,1.4439156,1.4480809,2.7874866
181,2.0024664,1.433682,3.3092127,2.5359616,1.5216336,3.727866,1.4353013,1.4269736,1.4371885,2.7794273
182,2.000876,1.4363005,3.3019803,2.5213313,1.5350683,3.709564,1.444861,1.4388223,1.4554939,2.7746468
183,1.98817,1.4429777,3.2919893,2.5242443,1.5175078,3.7028363,1.4263152,1.4415184,1.4585841,2.7721915
184,1.9886044,1.4280144,3.299949,2.5204687,1.5229206,3.6980166,1.4291902,1.4411978,1.4543213,2.7716453
185,1.9719025,1.4442816,3.279649,2.5151057,1.5258173,3.6787038,1.4356325,1.4286594,1.4617157,2.7625878
